Flow_ID,Source IP,Destination IP,Source Port,Destination Port,QUIC Connection ID,QUIC Connection Number,Frame Numbers
142.3.141.47_142.250.217.110_51848_443,142.3.141.47,142.250.217.110,51848,443,c4:6a:57:2a:5f:5d:70:a9__NA__e4:6a:57:2a:5f:5d:70:a9,0,3008
142.3.141.47_142.250.69.202_65092_443,142.3.141.47,142.250.69.202,65092,443,dc:b5:bd:29:74:13:db:40__NA__fc:b5:bd:29:74:13:db:40,1,18
142.3.141.47_199.212.24.140_56289_443,142.3.141.47,199.212.24.140,56289,443,74:a7:ad:fe:44:c7:cb:9f__NA__f4:a7:ad:fe:44:c7:cb:9f,2,873
142.3.141.47_173.194.56.103_59259_443,142.3.141.47,173.194.56.103,59259,443,69:2c:99:01:ba:ec:96:d2__NA__e9:2c:99:01:ba:ec:96:d2,3,35
142.3.141.47_74.125.159.70_63812_443,142.3.141.47,74.125.159.70,63812,443,2a:8b:bc:bf:5b:e2:72:8a__NA__ea:8b:bc:bf:5b:e2:72:8a,4,19771
142.3.141.47_142.250.69.214_49388_443,142.3.141.47,142.250.69.214,49388,443,b3:0f:ab:b0:54:0c:49:70__NA__f3:0f:ab:b0:54:0c:49:70,5,2087
142.3.141.47_142.251.33.102_64749_443,142.3.141.47,142.251.33.102,64749,443,f6:e2:ed:f0:c7:08:c2:19__NA,6,18
142.3.141.47_142.250.217.66_49742_443,142.3.141.47,142.250.217.66,49742,443,ee:28:9a:bb:07:50:f6:bf__NA,7,34
142.3.141.47_142.251.33.102_50329_443,142.3.141.47,142.251.33.102,50329,443,99:55:9d:50:fb:91:3b:d2__NA__f9:55:9d:50:fb:91:3b:d2,8,19
142.3.141.47_142.250.217.66_62972_443,142.3.141.47,142.250.217.66,62972,443,5f:45:91:a2:ee:54:f6:b8__NA__ff:45:91:a2:ee:54:f6:b8,9,36
142.3.141.47_199.212.24.141_50224_443,142.3.141.47,199.212.24.141,50224,443,0f:b8:33:2b:a6:a4:f0:c0__NA__ef:b8:33:2b:a6:a4:f0:c0,10,1234
142.3.141.47_142.250.217.66_57463_443,142.3.141.47,142.250.217.66,57463,443,0c:6f:09:5c:6a:17:6c:d3__NA__ec:6f:09:5c:6a:17:6c:d3,11,16
142.3.141.47_142.250.217.66_55114_443,142.3.141.47,142.250.217.66,55114,443,73:5c:cc:07:f0:ea:ec:41__NA__f3:5c:cc:07:f0:ea:ec:41,12,18
142.3.141.47_142.251.33.102_54530_443,142.3.141.47,142.251.33.102,54530,443,e1:cd:b2:44:9c:87:53:5b__NA,13,18
142.3.141.47_142.250.217.66_61880_443,142.3.141.47,142.250.217.66,61880,443,0b:5d:e9:35:cb:cb:43:a4__NA__eb:5d:e9:35:cb:cb:43:a4,14,18
142.3.141.47_142.250.217.66_49664_443,142.3.141.47,142.250.217.66,49664,443,7a:cb:8b:74:d2:64:bc:62__NA__fa:cb:8b:74:d2:64:bc:62,15,20
